title,imgurl,producturl,stars,price,id
"Sion Softside Expandable Roller Luggage, Black, Checked-Large 29-Inch",https://m.media-amazon.com/images/I/815dLQKYIYL._AC_UL320_.jpg,https://www.amazon.com/dp/B014TMV5YE,4.5,139.99,104
Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue,https://m.media-amazon.com/images/I/81bQlm7vf6L._AC_UL320_.jpg,https://www.amazon.com/dp/B07GDLCQXV,4.5,169.99,104
"Platinum Elite Softside Expandable Checked Luggage, 8 Wheel Spinner Suitcase, TSA Lock, Men and Women, True Navy Blue, Checked Medium 25-Inch",https://m.media-amazon.com/images/I/71EA35zvJBL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XSCCZYG,4.6,365.49,104
"Freeform Hardside Expandable with Double Spinner Wheels, Navy, 2-Piece Set (21/28)",https://m.media-amazon.com/images/I/91k6NYLQyIL._AC_UL320_.jpg,https://www.amazon.com/dp/B08MVFKGJM,4.6,291.59,104
"Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",https://m.media-amazon.com/images/I/61NJoaZcP9L._AC_UL320_.jpg,https://www.amazon.com/dp/B01DJLKZBA,4.5,174.99,104
"Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Sapphire Blue, Carry-On 21-Inch",https://m.media-amazon.com/images/I/61LnBNsSBSL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XSCD2R4,4.5,144.49,104
"Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",https://m.media-amazon.com/images/I/71CghLYrnAL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MXF4G8K,4.5,169.99,104
"Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",https://m.media-amazon.com/images/I/81f3h+YHOXL._AC_UL320_.jpg,https://www.amazon.com/dp/B07H515VCZ,4.5,299.99,104
"Omni 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Arctic Silver",https://m.media-amazon.com/images/I/91eOWP4mySL._AC_UL320_.jpg,https://www.amazon.com/dp/B08BXBCNMQ,4.5,112.63,104
Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs,https://m.media-amazon.com/images/I/81dsv5GrCLL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B9K44XTS,4.4,209.99,104
"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Patriot Blue, Checked Medium 25-Inch",https://m.media-amazon.com/images/I/71py6bRiEwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07QZLHTTY,4.7,271.99,104
"Chatelet Hard+ Hardside Luggage with Spinner Wheels, Champagne White, Checked-Large 28 Inch, with Brake",https://m.media-amazon.com/images/I/81W+B3pWiQL._AC_UL320_.jpg,https://www.amazon.com/dp/B01HIATG6I,4.6,259.6,104
"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Jet Black, Carry on 20-Inch",https://m.media-amazon.com/images/I/71tFi58LKwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07QXD3J9G,4.5,323.99,104
"Centric 2 Hardside Expandable Luggage with Spinners, True Navy, 3-Piece Set (20/24/28)",https://m.media-amazon.com/images/I/81UXQZdNZzL._AC_UL320_.jpg,https://www.amazon.com/dp/B081JDHNX1,4.5,399.92,104
Xpedition 30 Inch Multi-Pocket Upright Rolling Duffel Bag,https://m.media-amazon.com/images/I/81QKjgbsq4L._AC_UL320_.jpg,https://www.amazon.com/dp/B07DMBG7CX,4.3,42.0,104
"Stratum 2.0 Expandable Hardside Luggage with Spinner Wheels, 28"" SPINNER, Slate Blue",https://m.media-amazon.com/images/I/91qkFv-txyL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2X1BDFH,4.5,89.95,104
"Women's Spinner Mobile Office, Black, One Size",https://m.media-amazon.com/images/I/91qdE638dxL._AC_UL320_.jpg,https://www.amazon.com/dp/B00GI3572E,4.6,164.99,104
"Ascella X Softside Expandable Luggage with Spinners, Black, Checked-Large 29-Inch",https://m.media-amazon.com/images/I/910PxQKAThL._AC_UL320_.jpg,https://www.amazon.com/dp/B084P184MG,4.5,198.41,104
"Boren Polycarbonate Hardside Rugged Travel Suitcase Luggage with 8 Spinner Wheels, Aluminum Handle, Black, Checked-Large 30-Inch",https://m.media-amazon.com/images/I/611EC7sEWMS._AC_UL320_.jpg,https://www.amazon.com/dp/B094LVRCZD,3.9,99.99,104
Clear PVC Suitcase Cover Protectors 28 Inch Luggage Cover for Wheeled Suitcase (28''(24.80''H x 19.90''L x 12.40''W)),https://m.media-amazon.com/images/I/71TXWZwZ1+L._AC_UL320_.jpg,https://www.amazon.com/dp/B072Z7K96L,4.2,17.99,104
"Aspire DLX Softside Expandable Luggage with Spinner Wheels, Checked-Medium 25-Inch, Emerald",https://m.media-amazon.com/images/I/81CSqVSqRqL._AC_UL320_.jpg,https://www.amazon.com/dp/B09WXLYG6C,4.6,130.29,104
"Winfield 3 DLX Hardside Luggage with Spinners, 3-Piece Set (20/25/28), Blue/Navy",https://m.media-amazon.com/images/I/A1+6d8uX30L._AC_UL320_.jpg,https://www.amazon.com/dp/B07FDK2FVQ,4.3,366.53,104
"Oxford Expandable Spinner Luggage Suitcase with TSA Lock - 30.1 Inch, Black",https://m.media-amazon.com/images/I/71bezdtW3bL._AC_UL320_.jpg,https://www.amazon.com/dp/B07FNSKMST,4.5,119.47,104
"Chatelet Hardside 2.0 Luggage with Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",https://m.media-amazon.com/images/I/81FWe7OhKyL._AC_UL320_.jpg,https://www.amazon.com/dp/B09R35YK22,4.5,276.0,104
"Anzio Softside Expandable Spinner Luggage, Teal, Checked-Large 30-Inch",https://m.media-amazon.com/images/I/81mOcwTCenL._AC_UL320_.jpg,https://www.amazon.com/dp/B084LP1JLY,4.1,98.62,104
"Amsterdam Expandable Rolling Upright Luggage, Orange, Checked-Large 29-Inch",https://m.media-amazon.com/images/I/81uOx9GRHXL._AC_UL320_.jpg,https://www.amazon.com/dp/B0040A6BWW,4.2,89.9,104
"4 Kix Expandable Softside Luggage with Spinner Wheels, Black/Grey, Carry-On 21-Inch",https://m.media-amazon.com/images/I/71up+O-9Z4L._AC_UL320_.jpg,https://www.amazon.com/dp/B074ZKXZ74,4.6,78.83,104
"4010 Softside Luggage with Spinner Wheels, Black, Checked-Medium 23-Inch",https://m.media-amazon.com/images/I/71PwUmss1xL._AC_UL320_.jpg,https://www.amazon.com/dp/B08KYF6CN7,4.5,123.25,104
"Platinum Elite Hardside Expandable Spinner Wheel Luggage TSA Lock Hard Shell Polycarbonate Suitcase, Dark Sky Blue, Checked Large 28-Inch",https://m.media-amazon.com/images/I/71ODDM27JSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B12RQ9YJ,4.4,399.49,104
"Road Runner Carry On Luggage, 20 Lightweight PC Hardside Luggage with Front Pocket, Rolling Suitcase with Spinner Wheels, Travel Suitcase for Women & Men, TSA Locks-Black",https://m.media-amazon.com/images/I/712vb1PwfJL._AC_UL320_.jpg,https://www.amazon.com/dp/B084YXHFCL,4.4,179.99,104
"Helium DLX Softside Expandable Luggage with Spinner Wheels, Navy Blue, Checked-Medium 25 Inch",https://m.media-amazon.com/images/I/817hycblvFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BRSX4YGF,4.4,168.86,104
Alpha 3 Extended Trip Expandable 4-Wheeled Packing Case Suitcase - Great for Extended Travel of Shared Packing - Rolling Luggage for Men and Women - Black,https://m.media-amazon.com/images/I/81t9rYijQVL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MMMJP3P,3.9,1395.0,104
Luggage Sets 3 Piece Softside Expandable Lightweight Durable Suitcase Sets Double Spinner Wheels TSA Lock Blue (20in/24in/28in),https://m.media-amazon.com/images/I/81iKTQrJwYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0936PG85J,4.5,151.99,104
"Sympatico Hardside Large Spinner Luggage, Matte Navy, 30-Inch Checked",https://m.media-amazon.com/images/I/8188Q5g-YuL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GDP3LMH,4.6,769.0,104
"Maxlite 5 Softside Expandable Upright 2 Wheel Luggage, Lightweight Suitcase, Men and Women, Black, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/61sDfuDxhkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07BL9J2YP,4.5,186.99,104
"Silverwood Polycarbonate Hardside Expandable Spinner Luggage, Brushed Metal, Checked-Large 30-Inch",https://m.media-amazon.com/images/I/916h9KNgKYL._AC_UL320_.jpg,https://www.amazon.com/dp/B017993CKY,4.4,157.8,104
"Retrogade Luggage Expandable 8-Wheel Spinner Lightweight Hardside Suitcase, Botanical Green, 28-inch Checked",https://m.media-amazon.com/images/I/61iTg+nFjVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXD8PG8D,4.7,149.99,104
"ZDX Luggage, Hunter, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/91iIv7oMYPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0873QVTG7,4.6,579.0,104
"Elegance Carry On Suitcase, 20 Hardside Luggage with TSA Lock, Spinner Wheels-Black, 20-Inch",https://m.media-amazon.com/images/I/616M1sp0a1L._AC_UL320_.jpg,https://www.amazon.com/dp/B07YD3VZCG,4.4,199.99,104
Chasm Sport Duffel Bag,https://m.media-amazon.com/images/I/61zeJnscnTL._AC_UL320_.jpg,https://www.amazon.com/dp/B087TMNQNS,4.8,145.02,104
"Ultimax II 26"" Medium Trunk Spinner Luggage, Tie Down Straps, Matte Navy, Checked Inch",https://m.media-amazon.com/images/I/61RsVxJlOeL._AC_UL320_.jpg,https://www.amazon.com/dp/B09H19P7CY,4.6,179.99,104
"Helium DLX Softside Luggage Under-Seater with 2 Wheels, Navy Blue, Carry on 16 Inch",https://m.media-amazon.com/images/I/81HsUyDNK3L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8N7VLY,3.9,108.0,104
"Luggage 10-Piece Sets,ABS Hardside Suitcase with Spinner Wheels,TSA Lock Luggage Sets for Women and Men (Black)",https://m.media-amazon.com/images/I/71Jpjr3VIXL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B42B6NBQ,4.4,199.98,104
"Disney Mickey Mouse 25 Inch Rolling Luggage, Hardside Suitcase with Spinner Wheels, Black",https://m.media-amazon.com/images/I/61JzlOG68pL._AC_UL320_.jpg,https://www.amazon.com/dp/B07J9Q3YJ9,4.2,77.99,104
"Torq Hardside Luggage, Stealth, Checked-X-Large Trunk 32-Inch",https://m.media-amazon.com/images/I/81Gg1bpMakL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VGVBVW9,4.2,729.0,104
"Carry On Luggage 22x14x9 Airline Approved, 1OO% PC Lightweight Carry On Hardside Suitcase, 20 Inch Hard Shell Luggage with Spinner Wheels, Waterproof Rolling Suitcase, Silver Gray",https://m.media-amazon.com/images/I/71Zm6eg23zL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BLMSS3TT,4.3,84.79,104
suitcases Softside Spinner,https://m.media-amazon.com/images/I/71qhXzPsfcL._AC_UL320_.jpg,https://www.amazon.com/dp/B071L7V8YH,4.4,102.75,104
"Saire LTE Softside Expandable Luggage Wheels, Black, Medium Spinner",https://m.media-amazon.com/images/I/714eAQ24mWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTZZ24ZK,4.5,168.97,104
24 Inch Luggage Suitcase Lightweight with Spinner Wheels TSA Lock Hardside Medium Checked Luggage Durable Rolling Suitcase Black,https://m.media-amazon.com/images/I/51g2hxn+2bL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C89RR1VS,4.6,89.99,104
"Luggage Sets 4-Piece (16/20/24/28)"" Expandable Suitcases with Wheels PC+ABS Durable Hardside Luggage Clearance OliveGreen",https://m.media-amazon.com/images/I/811m7pjPnxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJ2BPX67,4.4,209.99,104
Luggage Covers For Suitcase Tsa Approved Luggage Cover PVC Clear Suitcase Covers for Luggage Waterproof Suitcase Cover Fits 28inch Travel Case,https://m.media-amazon.com/images/I/71djhyL+IsL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2ZSDYFH,3.9,18.65,104
"Amsterdam Expandable Rolling Upright Luggage, Burgundy, Checked-Medium 25-Inch",https://m.media-amazon.com/images/I/71D-CSCQN2L._AC_UL320_.jpg,https://www.amazon.com/dp/B001DWK4NM,4.2,85.25,104
"7739 Hardside Luggage Trunk with Spinner Wheels, Blush, 2-Piece Set (19/26)",https://m.media-amazon.com/images/I/91WNcDrbhBL._AC_UL320_.jpg,https://www.amazon.com/dp/B09SBYYDRH,4.6,257.96,104
20 Inch Carry On Luggage Hard Shell Suitcases with Wheels Lightweight Travel Luggage for Weekender Suitcase with Lock Rolling Luggage with Front Pocket(Cuban Sand),https://m.media-amazon.com/images/I/61ZnxpditaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJ5X9LXZ,4.4,169.89,104
"Womens Spontaneous 31-inch Softside Spinner Wheel Luggage, Integrated TSA Accepted Lock, Black Noir, Checked-Large",https://m.media-amazon.com/images/I/61BAX4Gu3xL._AC_UL320_.jpg,https://www.amazon.com/dp/B07V6MZQP4,4.6,282.13,104
"Chatelet Air Hardside Luggage, Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",https://m.media-amazon.com/images/I/81YGJqYe2oL._AC_UL320_.jpg,https://www.amazon.com/dp/B08XMYH4L2,4.6,269.99,104
